,course_name,instructor,reviews_avg,reviews_count,course_duration,lectures_count,level,price_after_discount,main_price,students_count
2689,Apache Spark 2.0 + Python : DO Big Data Analytics & ML,"V2 Maestros, LLC",4.3,359.0,7.5 total hours,58 lectures,Beginner,199.99,229.99,"2,374 students"
2690,Certified Digital Forensics Examiner (CDFE),Stone River eLearning,3.9,359.0,8 total hours,35 lectures,All Levels,269.99,1299.99,"1,749 students"
2691,Algorithms (Data Structures) Bootcamp in C++,Holczer Balazs,3.8,359.0,17.5 total hours,149 lectures,All Levels,199.99,229.99,"9,701 students"
2692,React - The Beginner's Course 2021,Anton Francis Jeejo,4.3,359.0,1 total hour,25 lectures,Beginner,229.99,319.99,"11,222 students"
2693,NLP Course for Beginner,"Code Warriors, Mayank Bajaj",4.2,358.0,1 total hour,12 lectures,Beginner,269.99,319.99,"62,854 students"
2694,"Gherkin and Cucumber: BDD Testing for IOS, Android, and Web",Shannon Atkinson,3.7,358.0,2 total hours,36 lectures,Beginner,199.99,229.99,"6,081 students"
2695,The Complete WordPress Website Business Course 2.0,"Gregg Davis, Rob Percival, Codestars • over 2 million students worldwide!",4.5,358.0,18.5 total hours,87 lectures,All Levels,229.99,1199.99,"3,102 students"
2696,Computer Vision: Python OCR & Object Detection Quick Starter,Abhilash Nelson,4.3,357.0,4.5 total hours,53 lectures,All Levels,269.99,779.99,"4,485 students"
2697,Data Migration: Database Migration MS SQL to Oracle DB,Bluelime Learning Solutions,3.9,357.0,5 total hours,68 lectures,Beginner,269.99,729.99,"6,245 students"
2698,Test your Core Java skills,Udayan Khattry,4.9,357.0,139 questions,Beginner,Current price: E£199.99,229.99,765.8469641367806,"18,745 students"
2699,Fundamentals of Java with NetBeans,Christoph Tornau,4.6,357.0,2 total hours,31 lectures,Beginner,199.99,229.99,"27,934 students"
2700,Learn How to Build a Website with jQuery,One Month,4.5,356.0,4 total hours,44 lectures,Beginner,269.99,719.99,"8,338 students"
2701,UX Design- From Beginner to Professional UX Designer: 4-in-1,Packt Publishing,4.2,356.0,13 total hours,114 lectures,Beginner,319.99,1399.99,"1,880 students"
2702,Learn Computer Vision and Image Processing in LabVIEW,Augmented Startups,4.2,356.0,4 total hours,32 lectures,All Levels,269.99,1299.99,"4,630 students"
2703,Unity 3rd Person Combat & Traversal,"GameDev.tv Team, Nathan Farrer (aka Dapper Dino)",4.7,356.0,10 total hours,65 lectures,Intermediate,229.99,1199.99,"3,659 students"
2704,Learn DevOps with Jenkins All in One Guide,Eduonix Learning Solutions,3.9,355.0,4.5 total hours,33 lectures,Intermediate,229.99,479.99,"19,517 students"
2705,Complete Guide to Velo by Wix: Go From Zero to Hero!,Will Fourie,4.0,355.0,14 total hours,45 lectures,Beginner,199.99,229.99,"1,493 students"
2706,C++ Working with Files - fstream I/O library,Arkadiusz Włodarczyk,4.5,355.0,3 total hours,18 lectures,All Levels,269.99,729.99,"35,060 students"
2707,C# and Windows Forms Exercises for Beginners (step by step),Pavol Almasi,4.2,355.0,24 total hours,156 lectures,Beginner,199.99,229.99,"8,013 students"
2708,Epic Construct 2 Course: Complete 60 Beginner Games!,"John Bura, Mammoth Interactive",4.8,354.0,36.5 total hours,435 lectures,All Levels,229.99,1199.99,"3,987 students"
2709,React JS and Redux Bootcamp - Master React Web Development,David Joseph Katz,3.5,354.0,22 total hours,172 lectures,All Levels,229.99,1199.99,"2,096 students"
2710,"OK, Umbraco",Anthony Shorrock,4.5,354.0,16 total hours,109 lectures,Intermediate,229.99,349.99,"1,285 students"
2711,The Ultimate PHP with MySQL Developer Course,"Skillbox, LLC",3.7,354.0,3 total hours,35 lectures,All Levels,269.99,1299.99,"8,437 students"
2712,Advanced Data Analytics using Python [2022],Data Is Good Academy,4.3,354.0,18 total hours,299 lectures,Expert,199.99,229.99,"28,215 students"
2713,Become an iOS/Android Game Developer with Unity 2017,"Dragan Neskovic, Jasmin Skamo",3.3,354.0,5 total hours,49 lectures,Beginner,229.99,1199.99,"28,529 students"
2714,Getting Started with PHP 7,Packt Publishing,4.4,354.0,4 total hours,48 lectures,Expert,229.99,779.99,"1,507 students"
2715,#2 Scrum Product Owner -A Practical Guide For Product Owners,"Malay Biswal PMP, SAFe PO/PM, Math and Telecom Enthusiast",4.4,353.0,2.5 total hours,37 lectures,All Levels,229.99,719.99,"2,049 students"
2716,Statistics with R - Intermediate Level,Bogdan Anastasiei,4.4,353.0,2.5 total hours,33 lectures,Intermediate,269.99,479.99,"31,491 students"
2717,Flutter & Dart for Beginners: Complete Course [2022 Latest],Aditya Thakur,3.9,353.0,1.5 total hours,19 lectures,Beginner,199.99,229.99,"10,146 students"
2718,Java Certification : OCP (1Z0-809) Exam Simulation [2022],Udayan Khattry,4.9,352.0,539 questions,All Levels,Current price: E£269.99,319.99,765.8469641367806,"6,314 students"
2719,"Learn Javascript Unit Testing With Mocha, Chai and Sinon",Tyler Pedley,4.0,352.0,40 total mins,14 lectures,All Levels,199.99,229.99,"1,273 students"
2720,What is Data Science?,Sai Acuity Institute of Learning Pvt Ltd Enabling Learning Through Insight!,3.6,352.0,4.5 total hours,8 lectures,All Levels,199.99,229.99,"36,318 students"
2721,The Complete Android Oreo and Nougat App Tutorials,Smartherd Developers,4.4,352.0,17.5 total hours,155 lectures,All Levels,229.99,1199.99,"20,369 students"
2722,Professional Certificate in Java Programming,Academy of Computing & Artificial Intelligence,4.3,352.0,6 total hours,78 lectures,All Levels,229.99,719.99,"34,261 students"
2723,Golang: Intro to REST API JWT auth with Go programming lang,"Mike M, Neb H.",4.8,352.0,2.5 total hours,26 lectures,All Levels,199.99,229.99,"2,424 students"
2724,Fundamentals of Electrical Instrumentation,The Wiring Wizard,4.6,351.0,2 total hours,38 lectures,All Levels,199.99,229.99,"1,372 students"
2725,Learn Machine Learning & Data Mining with Python,Data Science Guide,4.4,351.0,8.5 total hours,135 lectures,All Levels,199.99,229.99,"1,103 students"
2726,Create a MEAN App by Example - Full Stack Course,Gary Simon,4.4,351.0,3.5 total hours,33 lectures,Intermediate,199.99,229.99,"1,976 students"
2727,Intro to C# Programming and Scripting for Games in Unity,3dmotive LLC,3.7,351.0,4 total hours,61 lectures,Intermediate,199.99,229.99,"4,817 students"
2728,Python Programming Machine Learning Python Beginner- Advance,Homework Helper Proz,3.5,350.0,20 total hours,60 lectures,All Levels,199.99,229.99,"40,757 students"
